ts_utc,symbol,market_state,mid,spread_bps,buy_slip_bps_1000,buy_slip_bps_5000,buy_slip_bps_10000,buy_slip_bps_25000,buy_slip_bps_50000,buy_slip_bps_100000,sell_slip_bps_1000,sell_slip_bps_5000,sell_slip_bps_10000,sell_slip_bps_25000,sell_slip_bps_50000,sell_slip_bps_100000,buy_fillable_1000,buy_fillable_5000,buy_fillable_10000,buy_fillable_25000,buy_fillable_50000,buy_fillable_100000,sell_fillable_1000,sell_fillable_5000,sell_fillable_10000,sell_fillable_25000,sell_fillable_50000,sell_fillable_100000
2026-09-24T02:20:36.059051+00:00,RVOOUSDT,after_hours_weekday,706.7,6.509126927974001,3.79449004017633,8.002691552506537,12.630872810185165,22.533738609069808,33.909794922471036,57.01694580810182,3.352830942910941,6.307778795854416,11.080321985526497,21.939845528508908,32.0675618067093,52.659289666800206,True,True,True,True,True,True,True,True,True,True,True,True
2026-09-24T02:20:36.059051+00:00,RNVDAUSDT,after_hours_weekday,224.925,0.44459264199263426,6.73648190618688,10.061036010853334,10.476760603784427,11.122243367576257,12.158203980015633,13.462368619199841,0.22229632099694893,0.22229632099694893,0.22229632099694893,0.22229632099694893,0.22229632099694893,0.5412724705012335,True,True,True,True,True,True,True,True,True,True,True,True
2026-09-24T02:20:36.059051+00:00,RMETAUSDT,after_hours_weekday,741.0699999999999,3.7783205365226826,1.889160268262108,1.889160268262108,1.889160268262108,5.037764835158759,6.767301219534358,10.97454483297179,1.8891602682605744,1.8891602682605744,1.8891602682605744,3.1314123243350815,5.348126703920786,11.013177559315833,True,True,True,True,True,True,True,True,True,True,True,True
2026-09-24T02:20:36.059051+00:00,RSNDKUSDT,after_hours_weekday,1806.5149999999999,2.048142417860457,3.4465861346471223,5.051242671499954,5.251860936704558,5.372235757702835,5.749950391599183,6.932664161300155,3.295589668727666,4.268300666605,4.389876231648142,4.46282015113878,4.4979888691049945,4.7077287724190215,True,True,True,True,True,True,True,True,True,True,True,True
2026-09-24T02:20:36.059051+00:00,RAMDUSDT,after_hours_weekday,612.495,4.40819925060583,4.247905673519249,10.444052116557039,17.75458686346278,30.300395422609792,49.70737043291538,83.42333936388901,3.46487459987498,7.851030598794257,14.373568262449595,24.863277325011566,46.62343012555854,77.41104449171398,True,True,True,True,True,True,True,True,True,True,True,True
2026-09-24T02:20:36.059051+00:00,RINTCUSDT,after_hours_weekday,122.03999999999999,24.582104228121697,13.469531117327668,21.581215712594336,25.90587627339401,36.01879742286923,55.42364845216836,90.09640062304275,16.11245361196236,27.020149550778296,38.20438716567427,52.70047940702305,75.95196662432683,119.59406144483515,True,True,True,True,True,True,True,True,True,True,True,True
2026-09-24T02:20:36.059051+00:00,RAAPLUSDT,after_hours_weekday,336.97,6.52877110721935,3.871297826406321,12.010202176542307,15.459619664896444,28.732918258457097,47.944916668058575,88.93893003835825,4.496421168349866,12.550399614005968,24.06955151843426,39.044058910134616,58.628783078396566,95.30418161199162,True,True,True,True,True,True,True,True,True,True,True,True
2026-09-24T02:20:36.059051+00:00,RTSLAUSDT,after_hours_weekday,379.57500000000005,1.3172627280514093,2.9281253916183108,3.4309062529690197,3.493757414457294,4.27596842590242,5.358067082278494,6.364882050058528,4.346936831687848,5.822349666543855,6.006745646300224,6.742152801535956,7.4979565314286285,8.541790697148611,True,True,True,True,True,True,True,True,True,True,True,True
2026-09-24T02:20:36.059051+00:00,RGOOGLUSDT,after_hours_weekday,341.55499999999995,16.688381080645673,8.344190540323668,8.344190540323668,8.344190540323668,9.425048805350398,10.215662729266292,11.260317538707989,8.344190540322003,8.344190540322003,8.344190540322003,8.43151053460758,8.655369707000638,10.099643503381033,True,True,True,True,True,True,True,True,True,True,True,True
2026-09-24T02:20:36.059051+00:00,RAMZNUSDT,after_hours_weekday,248.57999999999998,7.241129616219261,5.996987826535296,13.730526296652629,22.184862542640598,37.36544391038781,57.42806169137148,,5.303400937246526,21.086827058225374,29.094189568711517,39.65113291843994,59.182069439675246,111.05052896306819,True,True,True,True,True,False,True,True,True,True,True,True
